de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars
Rind, Schulter, Braten well done, im Ofen gebraten (ohne Zugabe von Fett und Salz);Boeuf, épaule, rôti au four, à point (sans adjonction de graisse ni de sel);Manzo, spalla, arrosta al forno, ben cotta (senza aggiunta di grassi o sale);Beef, shoulder, well done roast in oven (without addition of fat and salt);0;190;6;1,9;0;34,8;0,2;68;0
Rind, Schulter, Braten, roh;Boeuf, épaule, rôti, crue;Manzo, spalla, arrosto, crudo;Beef, shoulder (roast), raw;0;120;3;1,2;0;21,6;0,1;50;0
Rind, Siedfleisch, durchzogen,  roh;Boeuf, bouilli, entremêlé, cru;Manzo, bollito misto, crudo;Beef, boiling meat, with fat, raw;0;230;17;7;0;19,5;3;60;0
Rind, Siedfleisch, mager, roh;Boeuf, bouilli, maigre, cru;Manzo, bollito magro, crudo;Beef, boiling meat, lean, raw;0;135;6;2,5;0;20,7;3;57;0
Rind, Voressen, roh;Boeuf, ragoût, cru;Manzo, spezzatino, crudo;Beef, ragout, raw;0;100;1;0,6;0;21,2;3;49;0
Rind, Zunge, roh;Boeuf, langue, crue;Manzo, lingua, cruda;Beef, tongue, raw;4;200;13;4,7;0;16;2,3;80;0
Rindfleisch (Durchschnitt exkl. Innereien, Rippensteak), roh;Viande de bœuf (moyenne sans abats ni côte), crue;Carne di manzo (in media, senza interiora e costine), cruda;Beef (average excluding offal, chop), raw;0;135;5;2,4;0;21,4;1,6;45;0
Rindsragout mit Sauce, zubereitet;Ragoût de boeuf avec sauce, préparé;Ragù di manzo con salsa, preparato;Beef ragout with sauce, prepared;3;95;3;0,5;0,6;12,6;2,2;300;1,6
Rippli (Nierstück), roh;Carré (filet), cru;Spalletta (lonza) crudo;Beef, rib, raw;1;155;7;2,6;0;21,7;3,2;2470;0
Risotto ohne Käse, gekocht;Risotto sans fromage, cuit;Risotto senza formaggio, cotto;Risotto without cheese, cooked;25;125;1;0,2;0,6;2,2;0,9;250;0,7
Ristretto crème, ungezuckert;Ristretto crème, non sucré;Ristretto crema, non zuccherato;Ristretto with coffee cream, no sugar added;1;50;4;2,6;0,1;0,8;3,2;23;1,1
Riz Casimir mit Kalbfleisch, zubereitet;Riz casimir de veau, préparé;Riz Casimir con vitello, preparato;Riz Casimir with veal, prepared;16;125;3;0,8;1,1;6,9;1,5;300;3,3
Riz Casimir mit Poulet, zubereitet;Riz Casimir au poulet, préparé;Riz Casimir con pollo, preparato;Riz Casimir with chicken, prepared;16;130;3;0,8;1,1;7,5;1,2;300;3,3
Roggenbrot mit Sauerteig;Pain de seigle au levain;Pane di segale (con lievito);Rye bread with sour dough;42;210;1;0,1;6,3;5,2;2,7;530;2,1
Roggenmehl, halbweiss, Typ 815;Farine de seigle, type 815;Farina di segale tipo 815;Rye flour Type 815;72;340;1;0,1;5,2;7,1;2,1;1;7,1
Roggenmehl, Ruch, Typ 1050;Farine de seigle, type 1050;Farina di segale tipo 1050;Rye flour Type 1050;69;335;2;0,2;7,7;7,5;2,7;1;6,8
Roggenmehl, Vollkorn, Schrot, Typ 1800;Farine de seigle, complète egrugée, type 1800;Farina di segale, integrale, cruschello tipo 1800;Rye flour (wholemeal) Type 1800;63;325;2;0,2;11,2;8,5;4,6;2;1
Roggenschrotbrot;Pain au gruau de seigle;Pane di tritello di segale;Rye bread with rye grist;44;230;1;0,1;7,5;6,2;3,3;570;0,7
Rohessspeck;Lard cru;Pancetta piana;Bacon, raw;1;400;34;13,1;0;22,1;0;1520;0,6
Rohpökelwaren (Durchschnitt);Produits de salaison crus (moyenne);Carne salmistrata cruda (in media);Raw cured meat raw (average);0;305;21;5,6;0;28,1;0;1610;0,3
Rohschinken;Jambon cru;Prosciutto, crudo;Ham, raw;0;230;12;4,3;0;31;0;1760;0,3
Rohwürste mit abgebrochener Reifung (Durchschnitt);Saucisses crues avec maturation interrompue (moyenne);Salsiccia cruda con maturazione troncata (in media);Raw sausages with interrupted maturation (average);1;370;34;12,7;0,1;15,6;0,9;940;0,6
Rohwürste/Dauerwürste (Durchschnitt);Saucisses crues (moyenne);Salsiccia cruda (in media);Raw sausages (average);0;455;41;15,6;0;22;0,4;1490;0,3
Rollgerste;Orge perlé;Orzo perlato, secco;Pearl barley;71;345;1;0,3;4,6;9,6;1;5;2,2
Rollmops;Rollmops ;Rollmops ;Rollmops (pickled herring);20;270;16;3,7;0;12;32;1180;18
Rollschinken;Rollschinkli;Prosciutto arrotolato;Rollschinken, cured and smoked pork meat;1;185;11;4,1;0;20,3;1,1;1170;1,2
Roquefort;Roquefort;Formaggio Roquefort;Roquefort cheese;0;365;32;19;0;18,7;40;1600;0
Rosenkohl, gedämpft (ohne Zugabe von Salz);Chou de Bruxelles, à la vapeur (sans adjonction de sel);Cavolini di Bruxelles, al vapore (senza aggiunta di sale);Brussel sprouts, steamed (without addition of salt);3;45;1;0,1;4,1;3,8;0,6;7,4;2,8
Rosenkohl, roh;Chou de Bruxelles, cru;Cavolino di Bruxelles, crudo;Brussels sprouts, raw;4;45;1;0,1;4,3;4;0,7;9;2,9
Rosine, getrocknet;Raisin, sec;Uvetta, secca ;Raisins, dried (grape)/ sultanas;68;300;1;0,2;5,2;2,5;2;21;67,1
Rosmarin, roh;Romarin, cru;Rosmarino, fresco;Rosemary, fresh;8;65;3;0,5;2,9;0,8;1;8;7,6
Rösti, Fertigprodukt;Rösti (pommes de terre prêtes à rôtir, produit fini);Rösti (patate pronte da arrostire, prodotto pronto al consumo);Rosti (shredded potatoes, ready to fry);19;120;4;1,6;1,3;2;28;430;0,9
Rotkohl, gedünstet (ohne Zugabe von Fett und Salz);Chou rouge, à l'étuvée (sans adjonction de graisse ni de sel);Cavolo rosso, stufato (senza aggiunta di sale);Red cabbage, stewed (without addition of fat and salt);4;30;0;0;2,8;1,3;2,6;8,1;3,7
Rotkohl, roh;Chou rouge, cru;Cavolo rosso, crudo;Red cabbage, raw;4;30;0;0;3;1,4;2,9;10;4
Ruchbrot;Pain bis;Pane bigio;Brown bread;44;235;1;0,2;4,1;9,5;1,4;630;0,5
Rucola, roh;Roquette, crue;Rucola, cruda;Rocket, raw;2;30;1;0,1;1,6;2,6;0;27;2,1
Rüeblitorte;Gateau aux carottes;Torta di carote;Cake with carrots;25;295;16;1,7;4,5;9,8;9,4;62;19,2
Rührei mit Champignons, zubereitet;Oeufs brouillés aux champignons, préparés;Uovo strapazzato al prataiolo, preparato;Scrambled eggs with mushrooms, prepared;2;130;9;3,1;0,4;9,4;27;260;1,4
Rührei mit Käse, zubereitet;Oeufs brouillés au fromage, préparés;Uovo strapazzato al formaggio, preparato;Scrambled eggs with cheese, prepared;1;160;12;4,2;0;11,6;30;330;1,3
Rührei mit Kräutern, zubereitet;Oeufs brouillés aux herbes, préparés;Uovo strapazato alle erbe, preparato;Scrambled egg with herbs, prepared;2;145;10;3,4;0,4;10,3;27;300;1,6
Rührei mit Schinken, zubereitet;Oeufs brouillés au jambon, préparés;Uovo strapazzato al prosciutto, preparato;Scrambled eggs with ham, prepared;1;150;10;3,3;0;12,7;26;410;1,3
Rührei, zubereitet;Oeufs brouillés, préparés;Uovo strapazzato, preparato;Scrambled eggs, prepared;1;150;11;3,7;0;10,8;29;320;1,3
Rührteigcake Gleichschwer;Gateau au beurre;Torta al burro;Butter cake;45;435;25;13,7;0,9;6,7;9,4;65;26,7
Russischer Salat, zubereitet;Salade russe, préparée;Insalata russa, preparata;Russian salad, prepared;10;200;16;2,3;2,2;2,5;3,3;140;1,8
Sablé, Butter;Sablés au beurre;Frollini;Short bread cookie (Sablé);53;475;26;15,5;1,6;5,9;0,3;44;17,8
Salametti;Salametto;Salametto;Salametti;0;345;31;11,9;0;14,8;0,6;1120;0,3
Salami (Billiglinie);Salami (ligne budget);Salame (linea economica);Salami budget type;0;425;37;13,6;0;22;;1530;0
Salami Typ Nostrano;Salami type Nostrano;Salame tipo nostrano;Salami Nostrano type;0;370;30;11,3;0;24,1;;1560;0
Salatsauce französisch (mit Rapsöl);Sauce de salade française (avec huile de colza);Salsa per insalata francese (con olio di colza);Salad dressing french style (with rapeseed oil);3;450;47;5,6;0,3;0,7;2,1;510;0,4
Salatsauce italienisch (mit Olivenöl);Sauce de salade italienne (avec huile d'olive);Salsa per insalata italiana (con olio d'oliva);Salad dressing italian style (with olive oil);1;475;51;6,6;0,1;0,3;0,3;290;0,2
Salbei, roh;Sauge, crue;Salvia, fresca;Sage, raw;7;60;2;1,1;2,9;1,7;1;2;6,8
Salsiz;Salsiz;Salsiz;Salsiz sausage;0;415;35;13,6;0;25,2;;1540;0
Saltimbocca, gebraten in HOLL-Rapsöl;Saltimbocca, grillé au colza HOLL;Saltimbocca, cotta in olio di colza HOLL;Saltimbocca, pan fried in rapeseed oil HOLL;0;230;12;2;0;30,2;0,2;660;0,1
Samen, Kerne, Nüsse (Durchschnitt), ungesalzen;Graines oléagineuses (moyenne), non salés;Semi e noci (in media), senza aggiunta di sale;Seeds, kernels, nuts (average), unsalted;11;600;51;9,4;9,5;20,3;5,8;8,6;3,5
Samosa frittiert;Samosa frite;Samosa fritta;Samosa deep-fried;32;345;20;4;3,4;6,3;2,9;360;2,4
Samosa gebacken;Samosa cuite au four;Samosa cotta al forno;Somosa baked;34;310;16;3,8;3,6;6,7;3,1;390;2,6
Sandwich (Baguette) mit Aufschnitt;Sandwich (baguette) à la charcuterie;Sandwich (baguette) con insaccato scottato;Sandwich (baguette bread) with cold cuts;17;155;7;1,7;1,5;5;1,7;340;2
Sandwich (Baguette) mit Fleischkäse;Sandwich (baguette) au fromage d'Italie;Sandwich (baguette) con Fleischkäse (pasticcio di carne);Sandwich (baguette bread) with luncheon meat;25;220;9;2,2;1,6;7,9;5,8;460;1,1
Sandwich (Baguette) mit Halbhartkäse;Sandwich (baguette) au fromage à pâte mi-dure;Sandwich (Baguette) al formaggio a pasta semi dura;Sandwich (baguette bread) with semi hard cheese;20;180;8;2,7;1,6;6,8;2,9;440;1,4
Sandwich (Baguette) mit Mozzarella;Sandwich (baguette) à la mozzarella;Sandwich (baguette) con mozzarella;Sandwich (baguette bread) with mozzarella;20;165;6;1,8;1,6;5,8;1,8;410;1,4
Sandwich (Baguette) mit Rohschinken;Sandwich (baguette) au jambon cru;Sandwich (baguette) al prosciutto crudo;Sandwich (baguette bread) with raw ham;19;165;6;1,3;1,5;8,8;1,7;550;1,3
Sandwich (Baguette) mit Salami;Sandwich (baguette) au salami;Sandwich (baguette) con salame;Sandwich (baguette bread) with salami;18;160;6;1,6;1,7;5,8;1,3;490;2,1
Sandwich (Baguette) mit Schinken;Sandwich (baguette) au jambon;Sandwich (baguette) al prosciutto;Sandwich (baguette bread) with ham;17;135;4;0,6;1,6;6,3;1,8;460;2,1
Sandwich (Baguette) mit Trockenfleisch;Sandwich (baguette) avec viande séchée;Sandwich (baguette) con carne secca;Sandwich (baguette bread) with dried meat;18;145;4;0,7;1,7;7,2;1,3;500;2,1
Sandwich (Baguette) mit Weichkäse;Sandwich (baguette) au fromage à pâte molle;Sandwich (baguette) con formaggio a pasta molla;Sandwich (baguette bread) with soft cheese;21;185;8;2,6;1,7;6,3;3,3;530;1,2
Sandwich (Ruchbrot) mit Aufschnitt;Sandwich (pain bis) à la charcuterie;Sandwich (pane bigio) con insaccato scottato;Sandwich (brown bread) with cold cuts;15;145;6;1,6;1,9;5,3;1,9;330;2
Sandwich (Ruchbrot) mit Fleischkäse;Sandwich (pain bis) au fromage d'Italie;Sandwich (pane bigio) con Fleischkäse (pasticcio di carne);Sandwich (brown bread) with luncheon meat;22;210;10;2,2;2,2;8,1;6,1;450;1,1
Sandwich (Ruchbrot) mit Halbhartkäse;Sandwich (pain bis) au fromage à pâte mi-dure;Sandwich (pane bigio) al formaggio a pasta semi dura;Sandwich (brown bread) with semi hard cheese;18;175;8;2,8;2,1;7;3,1;430;1,4
Sandwich (Ruchbrot) mit Mozzarella;Sandwich (pain bis) à la mozzarella;Sandwich (pane bigio) con mozzarella;Sandwich (brown bread) with mozzarella;18;155;6;1,9;2,1;6;2;400;1,4
Sandwich (Ruchbrot) mit Rohschinken;Sandwich (pain bis) au jambon cru;Sandwich (pane bigio) al prosciutto crudo;Sandwich (brown bread) with raw ham;16;160;6;1,3;1,9;9;1,8;540;1,3
Sandwich (Ruchbrot) mit Salami;Sandwich (pain bis) au salami;Sandwich (pane bigio) con salame;Sandwich (brown bread) with salami;16;155;7;1,6;2,1;5,9;1,5;480;2,1
Sandwich (Ruchbrot) mit Schinken;Sandwich (pain bis) au jambon;Sandwich (pane bigio) al prosciutto;Sandwich (brown bread) with ham;15;125;4;0,6;1,9;6,4;1,9;450;2,1
Sandwich (Ruchbrot) mit Trockenfleisch;Sandwich (pain bis) avec viande séchée;Sandwich (pane bigio) con carne secca;Sandwich (brown bread) with dried meat;16;135;4;0,7;2,1;7,4;1,5;490;2,1
Sandwich (Ruchbrot) mit Weichkäse;Sandwich (pain bis) au fromage à pâte molle;Sandwich (pane bigio) al formaggio a pasta molla;Sandwich (brown bread) with soft cheese;19;175;8;2,6;2,2;6,5;3,5;520;1,2
Sardelle im Öl, abgetropft;Anchois à l'huile, égouttée;Acciuga sott'olio, sgocciolata;Fish product, anchovy in oil, drained;0;185;8;2,9;0;26,4;30;4970;0,1
Sardellenpaste;Crème d'anchois;Pasta di acciughe;Anchovis paste;0;275;21;4,1;0;19,8;24;7720;0,1
Sardine im Öl, abgetropft;Sardine à l'huile, égouttée;Sardina sott'olio, sgocciolata;Fish product, sardine in oil, drained;0;215;14;2,8;0;23;26;480;0
Sardine, roh;Sardine, crue;Sardina, cruda;Fish, sardine, raw;0;165;9;2,6;0;20,4;32;110;0
Saucisse aux choux;Saucisse aux choux;Saucisse aux choux;Cabbage sausage;2;365;32;11,7;0,7;15,9;1,4;990;1,4
Saucisson;Saucisson;Salsiccia Saucisson;Saucisson sausage;1;470;44;16,2;0;16,7;1,1;1000;0,5
Saucisson vaudois;Saucisson vaudois;Salsiccia vodese;Sausage Vaudois;0;360;32;12;0;16,5;;830;0,2
Sauerkraut, in Essig eingelegt;Choucroute, mariné dans du vinaigre;Crauti, sott’aceto;Sauerkraut, pickled;2;20;0;0,1;2,2;1,3;3,1;550;0
Sauerrahm;Crème acidulée;Panna acidula;Sour cream (crème fraîche) 35% fat;3;335;35;21;0;2,3;9;30;2,8
Saurer Halbrahm;Demie-crème acidulé;Panna acida, semigrassa;Sour cream 15% fat;3;175;17;10;0;3;11;40;3,2
Sbrinz;Sbrinz (fromage à pâte dure);Formaggio Sbrinz;Sbrinz;0;420;33;19,9;0;28,6;40;710;0
Scampi (Kaisergranat), roh;Langoustine, crue;Scampo, crudo;Norway lobster, raw;1;95;1;0,2;0;19,6;240;340;0
Schaumwein;Vin blanc mousseux (p.ex. Champagne);Vino spumante (p.es.Champagne);Sparkling wine, champagne;2;70;0;0;0;0,2;10;4;1,5
Schmelzkäse, Scheibe, Rahm;Fromage fondu en tranches, à la crème;Formaggio fuso a fette, alla panna;Processed cheese, 50% fidm, slice;0;325;30;18;0;13,4;35;1200;0
Schmelzkäse, Scheibe, viertelfett;Fromage fondu en tranches, quart-gras;Formaggio fuso a fette, un quarto grasso;Processed cheese, 15% fidm, slice;0;160;9;5,2;0;20,1;35;1200;0
Schmelzkäse, Scheibe, vollfett;Fromage fondu en tranches, gras;Formaggio fuso a fette, di latte intero;Processed cheese, 45% fidm, slice;0;305;25;15;0;20;35;1200;0
Schmelzkäse, streichfähig, Rahm;Fromage fondu à tartiner, à la crème;Formaggio fuso da spalmare, alla panna;Processed cheese, 50% fidm, spreadable;0;310;29;17,6;0;11,2;35;1100;0
Schmelzkäse, streichfähig, viertelfett;Fromage fondu à tartiner, quart-gras;Formaggio fuso da spalmare, un quarto grasso;Processed cheese, 15% fidm, spreadable;0;165;9;5,6;0;19,4;35;1200;0
Schmelzkäse, streichfähig, vollfett;Fromage fondu à tartiner, au lait entier;Formaggio fuso da spalmare, di latte intero;Processed cheese, 45% fidm, spreadable;0;255;21;12,7;0;16;35;1200;0
Schnittlauch, roh;Ciboulette, crue;Erba cipollina, fresca;Chives, fresh;2;30;1;0,1;2,3;3;4,2;3;1,9
Schnitzelbrot mit Cocktailsauce;Sandwich à l'escalope avec sauce cocktail;Sandwich di scaloppina con salsa cocktail;Schnitzel bread with cocktail sauce;25;270;11;1,2;1,3;15,1;0,8;520;0,5
Schnitzelbrot mit Tartarsauce;Sandwich à l'escalope avec sauce tartare;Sandwich di scaloppina con salsa tartar;Schnitzel bread with tartare sauce;23;250;10;1,1;1,3;14,4;1,7;480;0,4
Schokolade, dunkel (bitter);Chocolat noir;Cioccolato, nero (amaro);Chocolate, dark;53;535;32;19,7;7;5,2;2,3;15;50
Schokolade, weiss;Chocolat blanc;Cioccolato, bianco;Chocolate, white;56;570;35;21,9;0,2;6,8;4,9;110;55,3
Schokoladencrème;Crème au chocolat;Crema, al cioccolato;Chocolate sauce;20;125;3;1,5;0,5;3,6;7;65;18,7
Schokoladengugelhopf;Kouglof au chocolat;Ciambellone al cioccolato;Chocolate ring cake;46;380;18;10,3;1,8;6,2;7,2;33;22,9
Schokoladenpulver;Chocolat en poudre;Cioccolato in polvere;Chocolate powder;71;405;8;4,6;10,5;6,3;0,9;5;70,6
Scholle, roh;Carrelet, cru;Passera di mare, cruda;Fish, plaice, raw;0;90;2;0,3;0;17,1;53;100;0
Schützenwurst;Boule de Bâle;Salsiccia del cacciatore ;Schützenwurst sausage;0;310;30;10,9;0;9,9;0,6;850;0,2
Schwarzwälder Kirschtorte;Tourte fôret noire;Torta foresta nera;Black forest cake;21;250;16;9,3;0,9;3,9;5,3;51;12
Schwarzwurzel, gedämpft (ohne Zugabe von Salz);Salsifis noir, à la vapeur (sans adjonction de sel);Scorzonera, al vapore (senza aggiunta di sale);Black salsify, steamed (without addition of salt);2;60;0;0,1;20,3;1,6;2,6;4,4;2,3
Schwarzwurzel, roh;Salsifis noir, cru;Scorzonera, cruda;Black salsify, raw;2;55;0;0,1;18,3;1,4;2,5;5;2,1
Schwein, Brustspitz, roh;Porc, fricassée, cru;Maiale, costine, crude;Pork, spare ribs, raw;0;240;19;7,2;0;17,9;1,1;54;0
Schwein, Eckstück, roh;Porc, noix, tranche, crue;Maiale, fesa francese, cruda;Pork, round, schnitzel, raw;0;115;3;0,7;0;22,6;1;72;0
Schwein, Filet, roh;Porc, filet mignon, cru;Maiale, filetto, crudo;Pork, filet, raw1;0;125;4;1,4;0;22,2;1;120;0
Schwein, Gehacktes, roh;Porc, haché, cru;Maiale, carne macinata, cruda;Pork, minced, raw;0;160;9;3,1;0;20,5;1;46;0
Schwein, Geschnetzeltes, roh;Porc, émincé, cru;Maiale, sminuzzato, crudo;Pork, chopped, raw;0;135;5;1,6;0;21,3;1;48;0
Schwein, Hals, Steak, roh;Porc, cou, steak, cru;Maiale, bistecca di collo, crudo;Pork, throat, raw;0;205;14;5,5;0;18,9;1,1;47;0
Schwein, Haxe, roh;Porc, jarret, cru;Maiale, geretto, crudo;Pork, knuckle, raw;1;175;8;2,7;0;25,6;1;74;0
Schwein, Kotelett, roh;Porc, côtelette, crue;Maiale, costoletta, cruda;Pork, chop, raw;0;180;10;3,9;0;21,4;1,1;43;0
Schwein, Leber, roh;Porc, foie, cru;Maiale, fegato, crudo ;Pork, liver, raw;1;130;5;1,7;0;20,7;14;77;0
Schwein, Nierstück, roh;Porc, filet, cru;Maiale, lonza, cruda;Pork, loin, raw;0;140;5;2;0;22,9;1,2;38;0
Schwein, Runder Mocken, roh;Porc, pièce ronde, tranche, cru;Maiale, girello, cruda;Pork, eye of round, raw;0;130;5;1,7;0;20,6;1,1;45;0
Schwein, Schulter, Braten medium, im Ofen gebraten (ohne Zugabe von Fett und Salz);Porc, épaule, rôti au four, à point (sans adjonction de graisse ni de sel);Maiale, spalla arrosta al forno, cottura media (senza aggiunta di grassi o sale);Pork, chuck, medium, roast in oven (without addition of fat and salt);0;230;12;2,4;0;31,1;1,3;76;0
Schwein, Schulter, Braten rare, im Ofen gebraten (ohne Zugabe von Fett und Salz);Porc, épaule, rôti au four, saignant (sans adjonction de graisse ni sel;Maiale, spalla arrosta al forno, cottura al sangue (senza aggiunta di grassi o sale);Pork, chuck, rare, roast in oven (without addition of fat and salt);0;220;11;2,3;0;29,3;1,2;71;0
Schwein, Schulter, Braten well done, im Ofen gebraten (ohne Zugabe von Fett und Salz);Porc,  épaule, rôti au four, bien cuit  (sans adjonction de graisse ni de sel);Maiale, spalla arrosta al forno, ben cotta (senza aggiunta di grassi o sale);Pork, chuck, well done, roast in oven (without addition of fat and salt);0;295;15;3,1;0;39,7;1,6;96;0
Schwein, Schulter, Braten, roh;Porc, épaule, rôti, cru;Maiale, spalla, arrosto, crudo ;Pork, chuck, roast, raw;0;185;9;1,9;0;24,6;1;68;0
Schwein, Voressen, roh;Porc, ragoût, cru;Maiale, spezzatino, crudo;Pork, ragout, raw;0;135;6;2,1;0;20,9;0,8;46;0
Schweinefleisch (Durchschnitt exkl. Innereien, Kotelett, Haxe), roh;Viande de porc (moyenne sans abats ni côtelette ni pied), crue;Carne di maiale (in media, senza interiora, cotoletta, stinco), cruda;Pork (average excluding offal, chop, knuckle), raw;0;160;8;2,9;0;21,4;1,1;63;0
Schweineschmalz;Saindoux;Strutto;Pork lard;0;895;99;42,4;0;0;9,7;2;0
Schweinsbratwurst;Saucisse à rôtir de porc;Salsiccia da arrostire di maiale;Pork sausage (Schweinsbratwurst);1;240;19;7,4;0;16,2;;760;0,5
Schweinspiccata, zubereitet;Piccata de porc, préparée;Piccata di maiale, preparata;Porc piccata, prepared;6;235;13;3,2;0,3;23,7;13;340;0,1
Schweinsragout mit Sauce, zubereitet;Ragoût de porc avec sauce, préparé;Ragù di maiale con salsa, preparato;Pork ragout with sauce, prepared;3;115;6;1,4;0,6;12,4;1;300;1,6
Schweinswurst;Petite saucisse de porc, à pocher;Salsiccia di maiale;Pork sausage (Schweinswurst);1;270;22;9;0;16,2;;930;0,5
Schweizer Salami, Schweine- und Rindfleisch;Salami suisse, porc et boeuf;Salame svizzero, maiale e manzo;Swiss Salami, beef and pork;1;490;44;16,6;0;22;0,9;1590;1,3
Seehecht, roh;Merlu, cru;Nasello, crudo;Fish, hake, raw;0;75;0;0,1;0;17;120;77;0
Seelachs, roh;Lieu noir, cru;Merluzzo nero, crudo;Fish, pollock, raw;0;80;0;0,1;0;19,3;85;40;0
Seezunge, roh;Sole, crue;Sogliola, cruda;Fish, sole, raw;0;85;1;0,2;0;18,7;25;120;0
Sellerie-Piccata, zubereitet;Piccata de céléris, préparée;Piccata di sedano rapa, preparata;Celeriac piccata, prepared;7;165;12;4,4;4,3;5,3;9,5;320;2
Selleriescheiben, paniert, zubereitet;Tranches de céléri, panées, préparées;Fette di sedano rapa, impanate, preparate;Celeriac slices, breaded, prepared;14;140;6;0,7;5,3;5;6,7;350;2,1
Semmeli;Petit pain Semmeli;Panino Semmeli;Semmeli (bread roll, white);53;265;1;0,2;2,6;8,9;0,8;660;1
Sesamsamen ungeschält;Graine de sésame;Semi di sesamo;Sesame seeds whole;12;590;50;9,2;11,8;17,7;10;7,7;0,4
Sherry, 18.5 vol%;Sherry, 18.5 vol%;Sherry, 18.5 vol%;Sherry, 18.5 vol%;4;120;0;0;0;0,1;10;6;3,6
Siedfleischsalat, zubereitet;Salade de boeuf bouilli, préparée;Insalata di bollito, preparata;Boiling meat salad, prepared;2;230;17;4,5;0,5;16,5;2,8;310;1,3
Silberzwiebel, in Essig eingelegt;Oignon au vinaigre;Cipolline, sott'aceto;Pearl onion, pickled;5;30;0;0;1,3;0,9;0;450;3,5
Sirup unverdünnt;Sirop concentré;Sciroppo concentrato;Syrup undiluted;92;375;0;0;0,9;0,1;0,9;1,3;91,4
Sirup zubereitet (verdünnt im Verhältnis 1:5.5);Sirop preparé (dilué en proportion 1:5.5);Sciroppo pronto (diluito di regola 1:5.5);Syrup, ready to drink (dilution 1:5.5);14;55;0;0;0,1;0;0,1;1;13,4
Sojabohne, gekocht (ohne Zugabe von Fett und Salz);Fève de soja, cuite (sans adjonction de graisse ni de sel);Fagiolo di soia, cotto (senza aggiunta di grassi o sale);Soybean, cooked (without addition of fat and salt);12;175;7;0,8;3,6;14;3,6;2,4;1,4
Sojabohne, getrocknet;Fève de soja, sèche;Fagioli di soia, secchi;Soybean, dried;29;435;17;2,1;8,9;35,1;9;6;3,5
Sojamehl, entfettet;Farine de soja, dégraissée;Farina di soia, sgrassata;Soya flour, defatted;1;250;1;0,2;27,5;45,2;0,8;35;0,6
Sojamehl, vollfett;Farine de soja, entière;Farina di soia integrale (intera);Soya flour, full fat;3;405;21;2,9;18,5;40,8;0,5;40;3,1
Sojamilch;Lait de soja;Latte di soia;Soya milk;2;45;2;0,2;1,1;4;0,4;26;1,3
Sojaöl;Huile de soja;Olio di soia;Soybean oil;0;810;90;12,7;0;0;0;0;0
Sojaschrot;Soja égrugé;Cruschello di soia;Soya meal;1;250;1;0,2;27,5;45,2;0,8;35;0,6
Sojasprossen, roh;Pousses de soja, crues;Germogli di soia, crudi;Soybean sprouts;5;55;1;0,1;2,4;5,5;2;30;4,6
Sonnenblumenkerne;Graine de tournesol;Semi di girasole;Sunflower seeds;12;630;53;5,1;8;21,3;5;3,6;2,1
Sonnenblumenöl;Huile de tournesol;Olio di semi di girasole;Sunflower oil;0;810;90;9,9;0;0;0;0,9;0
Sonnenblumenöl HO (high oleic), raffiniert;Huile de tournesol HO, raffinée;Olio di girasole HO, raffinato;Sunflower oil HO (high oleic), refined;0;810;90;6,3;0;0;;;0
Sorbet, Frucht;Sorbet, aux fruits;Sorbetto, alla frutta;Sorbet, fruit;32;140;0;0;0,4;0,2;2,6;1;32,1
Spargel, gedämpft (ohne Zugabe von Salz);Asperge, à la vapeur (sans adjonction de sel);Asparago, al vapore (senza aggiunta di sale);Asparagus, steamed (without addition of salt);3;30;0;0;1,7;2,2;6,6;2,6;3,2
Spargel, roh;Asperge, crue;Asparago, crudo;Asparagus, raw;3;30;0;0;1,7;2,2;7;3;3,2
Spinat, gedämpft (ohne Zugabe von Salz);Épinard, à la vapeur (sans adjonction de sel);Spinaci, al vapore (senza aggiunta di sale);Spinach, steamed (without addition of salt);1;30;1;0,1;3,4;3,6;15;73;0,9
Spinat, roh;Épinard, cru;Spinaci, crudi;Spinach, raw;1;25;0;0,1;2,6;2,7;12;65;0,7
Spinatkuchen, gebacken (mit Blätterteig);Gateau aux épinards, cuit au four (pâte feuilletée);Torta ai spinaci, cotta nel forno (pasta sfoglia);Spinach quiche, baked (with puff pastry);10;180;12;6,5;2,1;5,8;11;450;1,5
Spinatkuchen, gebacken (mit Kuchenteig);Gateau aux épinards, cuit au four (pâte à gateau);Torta ai spinaci, cotta nel forno (pasta per torta);Spinach quiche, baked (with cake dough);12;170;10;5,2;2,2;6,1;11;460;1,5
Spirituosen 40 vol% (z.B. Brandy, Gin);Eaux-de-vie, 40 vol% (p.e. Abricotine, Brandy, Gin, Rhum, Williamine, Whisky);Acquavite 40 vol% (Brandy, Gin, Rum, Whisky);Spirits, 40 vol% (e.g. brandy, gin);0;225;0;0;0;0;0;2;0
Spitzbube (Mürbeteiggebäck mit Konfitüre);Coquin (Sablés à la confiture);Discoletto (Frollini alla marmellata);Rascal (Shortbread cookie with jam);60;500;26;15;1,9;5,8;0,9;33;30,9
St. Galler Bürli (halbweiss);Bürli de St. Gall (farine mi-blanche);Bürli di San Gallo (farina semi-bianca);Bread roll from St. Gallen (semi white);45;235;1;0,1;3,5;9,1;1,1;840;0,3
St. Galler Schüblig;Schüblig de Saint-Gall;Schüblig di San Gallo;St. Gall Schüblig sausage;0;295;26;9,7;0;13,6;0,4;850;0,2
