de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Brombeerkuchen, gebacken (mit Kuchenteig);Tarte aux mûres, cuite au four (pâte à gateau);Torta di mora, cotta nel forno (pasta per torta);Blackberry pie, baked (with cake dough);15;130;5;2,6;4,4;3,2;2,8;100;5,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Streusel-Cake-Cake-Bake-Homemade-Plum-Cake-1587097.jpg
Brombeerkuchen, gebacken (mit süssem Mürbeteig);Tarte aux mûres, cuite au four (pâte brisée sucrée);Torta di mora, cotta nel forno (pasta frolla dolce);Blackberry pie, baked (with sweet short pastry base);19;200;11;6,4;4;3,2;2,3;92;8,4;https://upload.wikimedia.org/wikipedia/commons/1/14/Pumpkin_Pie.jpg
Brot (Durchschnitt);Pain (moyenne);Pane (in media);Bread (average);45;265;5;2,3;3,7;9,2;2,6;620;1,3;https://c1.staticflickr.com/1/225/517030049_e57a50b03a_b.jpg
Brühwürste geräuchert (Durchschnitt);Produits de charcuterie échaudés, fumés (moyenne);Salsiccia da cuocere affumicata (in media);Cooked smoked sausages (average);0;265;23;8,7;0;14,3;0,1;870;0,4;https://upload.wikimedia.org/wikipedia/commons/8/88/Goan_sausages_being_prepared_and_processed_at_a_traditional_unit%2C_Gaunsavaddo%2C_Mapusa%2C_Bardez%2C_Goa.JPG
Brühwürste ungeräuchert (Durchschnitt);Produits de charcuterie échaudés, non fumés (moyenne);Salsiccia da cuocere non affumicata (in media);Cooked sausages not smoked (average);1;260;22;8,4;0;13,2;1;1550;0,8;https://upload.wikimedia.org/wikipedia/commons/8/88/Goan_sausages_being_prepared_and_processed_at_a_traditional_unit%2C_Gaunsavaddo%2C_Mapusa%2C_Bardez%2C_Goa.JPG
Brunnenkresse, roh;Cresson, cru;Crescione, crudo;Water cress, raw;0;20;0;0,1;2,6;2,2;2;42;0,3;https://c1.staticflickr.com/3/2634/3959822282_cd4ff46f34_b.jpg
Brunsli;Brun de Bâle;Brunsli di Basilea;Brunsli (chocolate cookie);42;495;29;5,6;7,9;12,7;2,3;53;38,2;https://upload.wikimedia.org/wikipedia/commons/3/36/Schokolade-schwarz.jpg
Buchweizen, Korn geschält;Sarrasin, grains décortiqués;Grano saraceno, sgusciato;Buckwheat, grain peeled;71;345;2;0,3;3,7;9,1;0,5;2;0,4;https://upload.wikimedia.org/wikipedia/commons/6/68/Astilbe_%27Alive_%26_Kicking%27.jpg
Buchweizenmehl;Farine de sarrasin;Farina di grano saraceno;Buckwheat flour;65;345;3;0,6;6,2;12;0,2;6;0,3;https://upload.wikimedia.org/wikipedia/commons/a/a0/Buckwheat_and_products_from_it_01.jpg
Bündner Gerstensuppe;Soupe d'orge des Grisons;Zuppa d'orzo grigionese;Graubünden barley soup;7;45;1;0,5;0,5;1,4;4,2;340;1,2;https://upload.wikimedia.org/wikipedia/commons/e/e2/Absinthe-glass.jpg
Bürli (halbweiss);"Petit pain ""Bürli"" (farine mi-blanche)";"Panino ""Bürli"" (farina semibianca)";Bread roll (semi white);42;220;1;0,2;2,9;8,6;0,8;770;0,4;http://maxpixel.freegreatpicture.com/static/photo/1x/Wreak-Roll-Emmental-Snack-Semi-hard-Cheese-Cheese-1415680.jpg
Buttergipfeli, hell;Croissant blanc au beurre;Cornetto biancho al burro;Butter croissant, white;44;435;24;14,1;2,6;8,8;1,8;490;3,3;https://cdn.pixabay.com/photo/2016/01/21/10/08/croissant-1153402_960_720.jpg
Buttergipfeli, Vollkorn;Croissant au beurre, complet;Cornetto al burro, integrale;Butter croissant, wholemeal;39;370;20;11,5;3,6;6,4;1,5;440;1,2;https://static.pexels.com/photos/302462/pexels-photo-302462.jpeg
Buttermilch;Babeurre;Latticello;Buttermilk;4;35;1;0,3;0;3,2;7,3;60;4;https://upload.wikimedia.org/wikipedia/commons/2/23/Buttermilk-%28right%29-and-Milk-%28left%29.jpg
Butterweggli;Petit pain au lait;Panino al latte;Weggli, bread roll made with butter;47;310;9;4,9;2,2;9,4;4,5;650;3,4;
Butterzopf;Tresse au beurre;Treccia al burro;Braided white bread made with butter;46;330;11;6,5;2,1;9;5;580;2,9;https://c1.staticflickr.com/2/1128/630644317_245abd4c52_b.jpg
Butterzopf, Vollkorn;Tresse au beurre, au blé entier;Treccia al burro, integrale;Braided bread, wholemeal, made with butter;41;275;6;3,2;7,3;9,4;2,5;460;1;http://maxpixel.freegreatpicture.com/static/photo/1x/Yeast-Bread-Dough-Bakery-Flour-Fresh-Food-1567875.jpg
Café crème, ungezuckert;Café crème, non sucré;Caffe crema, non zuccherato;Coffee with coffee cream, no sugar added;1;15;1;0,7;0,1;0,3;0,9;6,9;0,3;https://upload.wikimedia.org/wikipedia/commons/6/66/Coffee_with_cream_and_sugar_-_Evan_Swigart.jpg
Cake Financier;Cake financier;Cake alla finanziera;Cake financier;37;430;26;8;4;9,8;2,2;39;29,2;https://upload.wikimedia.org/wikipedia/commons/c/c5/Two_rectangular_financiers.jpg
Calimocho (Rotwein mit Cola);Calimocho (Vin rouge avec cola);Calimocho (Vino rosso con cola);Calimocho (red wine mixed with cola);5;60;0;0;0;0;1;4,5;5,1;https://c1.staticflickr.com/9/8092/8535812370_0b2f7963a3_b.jpg
Camembert, halbfett;Camembert, mi-gras;Formaggio Camembert, semigrasso;Camembert, at least 25% fidm;0;180;10;6;0;22;20;600;0;
Camembert, Rahm;Camembert, à la crème;Formaggio Camembert, alla panna;Camembert, at least 50% fidm;0;355;32;19;0;16,4;6,8;480;0;
Camembert, vollfett;Camembert, gras;Formaggio Camembert, grasso;Camembert, at least 45% fidm;0;300;24;14,2;0;21,2;20;890;0;
Cannelloni mit Fleischfüllung, zubereitet;Cannellonis à la viande, préparés;Cannelloni con carne, preparati;Cannelloni filled with meat, prepared;15;195;10;4,9;1,8;10,4;4,8;280;2,6;https://upload.wikimedia.org/wikipedia/commons/8/81/Salami_sandwich_and_knish.jpg
Cannelloni mit Spinat-Ricotta-Füllung, zubereitet;Cannellonis aux épinards à la ricotta, préparés;Cannelloni con ricotta e spinaci, preparati;Cannelloni filled with spinach and ricotta, prepared;15;225;14;7,7;1,7;8,7;11;320;1,8;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Cappuccino (ohne Schokoladenpulver), ungezuckert;Cappuccino (sans poudre de chocolat), non sucré;Cappuccino (senza polvere di cioccolato), non zuccherato;Cappuccino (without chocolate powder), no sugar added;3;40;2;1,3;0;1,8;5,1;21;2,5;https://upload.wikimedia.org/wikipedia/commons/e/ed/Wet_Cappuccino_with_heart_latte_art.jpg
Capuns, zubereitet;Capuns, préparés;Capuns, preparati;Capuns, prepared;10;170;10;5,2;1;8,1;6,7;380;1,1;https://upload.wikimedia.org/wikipedia/en/1/18/Momomucktoo.jpg
Cashewnuss;Noix de cajou;Anacardi;Cashew nut;27;595;45;7,8;3,6;18,2;10;9,2;5,9;https://upload.wikimedia.org/wikipedia/commons/0/07/Cashew_nuts.JPG
Cervelat;Cervelas;Cervelat;Cervelat (Swiss sausage);1;250;22;8,2;0;13,4;;840;0,5;https://upload.wikimedia.org/wikipedia/commons/b/b3/Cervelat.jpg
Champignon (Konserve);Champignons de Paris, conserve;Funghi prataioli, conserva;Mushroom, canned;1;20;0;0;2,5;2,3;18;340;0;https://upload.wikimedia.org/wikipedia/commons/e/e0/Mushroom_structure.jpg
Champignon, gedünstet (ohne Zugabe von Fett und Salz);Champignon, à l'étuvée (sans adjonction de graisse ni de sel);Funghi prataioli, stufati (senza aggiunta di grasso e sale);Mushroom, stewed (without addition of fat and salt);1;30;0;0;2,3;3,5;21;6;0,4;https://upload.wikimedia.org/wikipedia/commons/2/2f/Porcini_mushroom_soup_in_breadbowl_poland_2010.JPG
Champignon, roh;Champignon, cru;Fungo prataiolo, crudo;Mushroom, raw;1;25;0;0;1,9;2,9;18;5,7;0,3;http://www.publicdomainpictures.net/pictures/80000/nahled/raw-mushrooms.jpg
Chicorée, gedämpft (ohne Zugabe von Salz);Endive, à la vapeur (sans adjonction de sel);Cicoria belga, al vapore (senza aggiunta di sale);Chicory, steamed (without addition of salt);1;15;0;0;2,6;1;1;3,5;0,6;https://upload.wikimedia.org/wikipedia/commons/7/75/Grits_and_eggs.jpg
Chicorée, roh;Endive, crue;Insalata belga, cruda;Chicory, raw;1;15;0;0;2,5;1;1;4;0,6;https://upload.wikimedia.org/wikipedia/commons/b/bf/Illustration_Cichorium_intybus0_clean.jpg
Chili con carne, zubereitet;Chili con carne, préparé;Chili con carne, preparato;Chili con carne, prepared;9;125;4;1,2;2,7;10,8;2,3;150;2,1;https://upload.wikimedia.org/wikipedia/commons/7/77/Chilli_cheese_fries.jpg
Chinakohl, gedünstet (ohne Zugabe von Fett und Salz);Chou de Chine, à l'étuvée (sans adjonction de graisse ni de sel);Cavolo cinese, stufato (senza aggiunta di grasso e sale);Chinese cabbage, stewed (without addition of fat and salt);1;20;0;0,1;2;1,2;0,3;17;1,2;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Chinakohl, roh;Chou de Chine, cru;Cavolo cinese, crudo;Chinese cabbage, raw;1;20;0;0,1;1,9;1,1;0,3;19;1,2;https://c1.staticflickr.com/6/5134/5519753518_9cb4c1bde6_b.jpg
Chräbeli (Anisgebäck);Petit gâteau à l'anice;Creste di gallo all'anice;Chräbeli (aniseed cookie);75;370;3;0,7;2;8,5;6,8;60;40,5;https://upload.wikimedia.org/wikipedia/commons/0/01/Aniseed_p1160018.jpg
Cicorino rot, roh;Chicorée rouge, crue;Cicorino rosso, crudo;Radicchio red, raw;2;20;0;0;3;1,4;0;7;1,6;https://upload.wikimedia.org/wikipedia/commons/e/e9/Radicchio_%285680915288%29.jpg
Cocktailsauce, selbst zubereitet mit Rapsöl-Mayonnaise;Sauce cocktail, préparée à la maison avec la mayonnaise de colza;Salsa cocktail, fatta in casa con maionese di colza;Cocktail sauce, home made with rapeseed mayonnaise;4;695;74;6,9;0,2;2,4;1,7;290;3,7;http://www.mountpleasantgranary.net/blog/images/Ann-and-Rachel-again.jpg
Colagetränk, gezuckert;Soda au cola, sucré;Bevanda gassata a base di cola zuccherata;Cola beverage, sweetened;10;40;0;0;0;0;2;9;10;https://c1.staticflickr.com/8/7528/15330835493_de3d29bc4a_b.jpg
Colagetränk, mit Süssstoffen;Soda au cola, édulcoré;Bevanda gassata a base di cola edulcorata;Cola beverage, with sweetener;0;0;0;0;0;0;1;5;0;https://c1.staticflickr.com/9/8633/16479867548_ef81517457_b.jpg
Coleslaw Salat, zubereitet;Salade Coleslaw, préparée;Insalata Coleslaw, preparata;Coleslaw salad, prepared;4;120;10;1,8;2,1;1,7;5,1;74;4,1;https://upload.wikimedia.org/wikipedia/commons/0/04/Cheese_slaw.jpg
Coppa;Coppa;Coppa;Coppa (cured pork meat);0;320;23;8,5;0;28,8;0;1520;0,3;https://upload.wikimedia.org/wikipedia/commons/a/a4/Coppa_de_Corse_-_Coppa_di_Corsica_-_006.jpg
Cordon Bleu aus Kalbsplätzli, gebraten;Cordon bleu de veau, sauté;Cordon bleu di vitello, preparato;Cordon bleu from veal schnitzel, fried;10;240;11;3,1;0,6;23,9;5,1;380;0,5;https://upload.wikimedia.org/wikipedia/commons/2/28/Kara%C4%91or%C4%91eva_%C5%A1nicla_with_ajvar.jpg
Cordon Bleu aus Schweinsplätzli, gebraten;Cordon bleu de porc, sauté;Cordon bleu di maiale, preparato;Cordon bleu from pork schnitzel, fried;10;250;12;3,3;0,6;24,2;5,8;380;0,5;https://upload.wikimedia.org/wikipedia/commons/2/28/Kara%C4%91or%C4%91eva_%C5%A1nicla_with_ajvar.jpg
Cornflakes;Cornflakes;Cornflakes;Cornflakes;79;360;1;0,1;4;7,2;1;940;7,1;https://upload.wikimedia.org/wikipedia/commons/8/8a/CornFlakes.JPG
Cotechino;Cotechino;Cotechino;Cotechino (pork sausage);0;450;42;14;0;17,2;0;1740;0;https://upload.wikimedia.org/wikipedia/commons/b/b7/Mettbroetchen.jpg
Cotto (Fleischerzeugnis);Cotto (produit à base de viande);Cotto;Cotto (meat product);1;95;3;1,2;0;15,7;;910;0,6;https://upload.wikimedia.org/wikipedia/commons/3/30/Grocery_store_in_Rome.jpg
Cracker, Salzgebäck, Apérogebäck;Crackers, biscuits salés;Cracker, salatini, salatini da aperitivo;Cracker, salty snacks;66;450;16;5,9;2,1;9,2;13;590;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Saltine-Salty-Baked-Food-Crackers-Snack-968806.jpg
Crèmeschnitte;Feuilleté à la crème;Sfoglia alla crema;Cream slice;35;320;18;10,8;0,3;3,5;5,9;100;15,3;https://cdn.pixabay.com/photo/2015/02/06/13/50/eszterhazyschnitte-626109_960_720.jpg
Crêpes mit Camembert, zubereitet;Crêpes au camembert, préparés;Crêpes al formaggio Camembert, preparati;Thin pancakes with camembert cheese, prepared;15;250;16;8,2;0,5;11,9;18;310;2,3;https://upload.wikimedia.org/wikipedia/commons/e/e2/Absinthe-glass.jpg
Crêpes mit Champignonfüllung, zubereitet;Crêpes aux champignons, préparés;Crêpes ai funghi prataiolo, preparati;Thin pancakes with mushrooms, prepared;8;140;9;4,7;1,6;5,3;19;140;1,8;https://upload.wikimedia.org/wikipedia/commons/a/aa/Silver_dollar_pancakes.JPG
Crêpes mit Gemüsefüllung, zubereitet;Crêpes aux légumes, préparés;Crêpes alla verdura, preparati;Thin pancakes with vegetable filling, prepared;14;165;9;4;1,6;6;12;94;4;https://upload.wikimedia.org/wikipedia/commons/a/aa/Silver_dollar_pancakes.JPG
Crêpes mit Nutella, zubereitet;Crêpes au Nutella, préparés;Crêpes alla Nutella, preparati;Thin pancakes with Nutella, prepared;36;380;22;9;1,7;7,7;13;100;26,6;https://upload.wikimedia.org/wikipedia/commons/a/aa/Silver_dollar_pancakes.JPG
Crêpes mit Schinken, zubereitet;Crêpes au jambon, préparés;Crêpes al prosciutto, preparati;Thin pancakes with ham, prepared;13;195;10;4,7;0,5;12,8;13;400;2,2;https://upload.wikimedia.org/wikipedia/commons/7/70/Platt_brunch.jpg
Crêpes mit Speck, zubereitet;Crêpes au lard, préparés;Crêpes al lardo, preparati;Thin pancakes with bacon, prepared;15;255;16;7,4;0,5;11,2;14;360;2,4;https://upload.wikimedia.org/wikipedia/commons/7/70/Platt_brunch.jpg
Crêpes mit Zimt und Zucker, zubereitet;Crêpes au sucre et cannelle, préparés;Crêpes al zucchero con cannella, preparati;Thin pancakes with sugar and cinnamon, prepared;29;260;12;5,7;0,7;8,2;16;130;14,9;https://upload.wikimedia.org/wikipedia/commons/a/aa/Silver_dollar_pancakes.JPG
Crêpes nature, zubereitet;Crêpes nature, préparés;Crêpes al naturale, preparati;Thin pancakes, prepared;19;235;13;6,5;0,7;9,3;18;150;2,9;https://upload.wikimedia.org/wikipedia/commons/a/aa/Silver_dollar_pancakes.JPG
Crevettencocktail, zubereitet;Cocktail au crevette, préparé;Cocktail al gambero, preparato;Shrimp cocktail, prepared;5;175;13;7,7;0,3;5,5;34;190;3,8;https://upload.wikimedia.org/wikipedia/commons/f/f8/Cocktail_1_bg_060702.jpg
Crunchy Nut Honig & Erdnüsse (Kellogg's);Crunchy Nut (Kellogg's);Crunchy Nut (Kellogg's);Crunchy Nut Honig & Erdnüsse (Kellogg's);82;405;5;0,9;2,5;6;;350;35;
Dattel, getrocknet;Datte, sèche;Datteri, secchi;Date, dried;69;305;1;0;7,1;2,5;1;3;69;https://upload.wikimedia.org/wikipedia/commons/a/a3/Dry_dates.JPG
Dinkelmehl, Ruch, Typ 1100;Farine d'épeautre bise, type 1100;Farina di spelta tipo 1100;"Spelt, flour ""Ruch"" (type 1100)";65;350;2;0,3;5,7;14,3;;27;1,4;
Dinkelmehl, Vollkorn, Typ 1900;Farine d'épeautre, complète, type 1900;Farina di spelta integrale tipo 1900;Spelt, wholemeal flour (type 1900);60;350;3;0,4;9,4;15,6;;13;1,2;https://upload.wikimedia.org/wikipedia/commons/1/10/2013_07_13_Avoine_noire_d%27Epinal.JPG
Dinkelmehl, weiss, Typ 550;Farine d'épeautre blanche, type 550;Farina di spelta bianca tipo 550;Spelt, fine flour (type 550);69;350;2;0,3;2,8;13,3;;6,8;0,9;https://upload.wikimedia.org/wikipedia/commons/0/09/Flours.jpg
Distelöl;Huile de chardon;Olio di cardo;Safflower oil;0;810;90;8;0;0;0;0;0;https://cdn.pixabay.com/photo/2015/09/17/22/58/safflower-944840_960_720.jpg
Doppelrahm, pasteurisiert;Double crème, pasteurisée;Doppia panna, pastorizzata;Cream, at least 45 % milk fat, pasteurized;3;425;45;27;0;2,1;80;20;2,8;https://upload.wikimedia.org/wikipedia/commons/3/36/From_Abhisheka_To_Panchamrutha.jpg
Dorsch, roh;Morue, cru;Merluzzo bianco, crudo;Cod, raw;0;80;0;0,1;0;18,1;160;53;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Food-Fish-Seafood-Cod-Loin-Captain-Cut-1813072.png
Dulce de Leche;Dulce de Leche;Dulce de Leche;Dulce de Leche;53;300;7;4,4;0;5,9;17;69;52,6;https://upload.wikimedia.org/wikipedia/commons/5/5a/DulceDeLeche.jpg
Edelkastanie, roh;Châtaigne, crue;Castagne, crude;Chestnut, raw;42;200;2;0,3;1,4;2,9;0,1;0,6;5;http://www.publicdomainpictures.net/pictures/110000/velka/fresh-green-chestnuts-on-tree.jpg
Egli, roh;Perche, crue;Pesce Persico, crudo;Eurasian perch, raw;0;80;1;0,1;0;18;4;92;0;https://upload.wikimedia.org/wikipedia/commons/1/11/Crow_corvus_nest.jpg
Eieromeletten mit Käse, zubereitet;Omelette à la française au fromage, préparée;Omelette francese al formaggio, preparato;French omelette with cheese, prepared;1;195;15;6,4;0,1;13,8;27;370;1,2;https://upload.wikimedia.org/wikipedia/commons/7/75/Grits_and_eggs.jpg
Eieromeletten mit Schinken, zubereitet;Omelette à la française au jambon, préparée;Omelette francese al prosciutto, preparato;French omelette with ham, prepared;1;150;10;3,3;0,1;12,6;26;410;1,3;http://maxpixel.freegreatpicture.com/static/photo/1x/Omelette-Breakfast-Cheese-Basil-Omlet-Eggs-Ham-932925.jpg
Eieromeletten mit Speck, zubereitet;Omelette à la française au lard, préparée;Omelette francese al lardo, preparato;French omelette with bacon, prepared;1;185;14;5;0,1;12,3;25;270;1,3;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Eieromeletten, zubereitet;Omelette à la française, préparée;Omelette francese, preparato;French omelette, prepared;1;155;12;3,8;0;11,1;30;330;1,4;https://upload.wikimedia.org/wikipedia/commons/e/e1/Crespeou.jpg
Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz);Chanterelle, à l'étuvée (sans adjonction de graisse ni de sel);Gallinaccio, stufato (senza aggiunta di grasso e sale);Chanterelle, stewed (without addition of fat and salt);0;30;1;0,1;5,7;2;3,5;3,2;0,2;https://upload.wikimedia.org/wikipedia/commons/a/aa/Stor_r%C3%A4ksm%C3%B6rg%C3%A5s_p%C3%A5_M%C3%B6ssebergsg%C3%A5rden_2591.jpg
Eierschwamm, roh;Chanterelle, crue;Gallinaccio, crudo;Chanterelle, raw;0;25;1;0,1;4,7;1,6;3;3;0,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Fresh-Raw-Natural-Vegetable-Mushroom-White-Food-877971.jpg
Eisbergsalat, roh;Salade Iceberg, crue;Lattuga ghiaccio, cruda;Iceberg lettuce, raw;2;20;0;0;1,8;1;2;3,6;1,6;https://c1.staticflickr.com/1/168/446450818_39b86dcff5_b.jpg
Eistee, gezuckert;Thé froid, sucré;Té freddo, zuccherato;Ice Tea, sweetened;8;30;0;0;0;0;0,9;0;7,5;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ice_Tea_%282571858493%29.jpg/1280px-Ice_Tea_%282571858493%29.jpg
Emmentaler, vollfett;Emmentaler, gras;Formaggio Emmentaler grasso;Emmentaler cheese, at least 45% fidm;0;415;33;20,3;0;29;20;170;0;
Endivie, roh;Chicorée scarole, crue;Indivia, cruda;Endive, raw;1;20;0;0;1,2;1,8;2,9;43;1,2;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Endive_Mash_with_Lamb_Shawarma_%282163709403%29.jpg/679px-Endive_Mash_with_Lamb_Shawarma_%282163709403%29.jpg
Engadiner Nusstorte;Gateau au noix d' Engadine;Torta di noci engadinese;Nut tart from Engadin;50;490;28;10,2;2;7;3,5;14;30,7;https://upload.wikimedia.org/wikipedia/commons/c/c3/Engadiner_Nusstorte2.jpg
Erbse (Konserve) ;Petit-pois, conserve;Piselli, conserva;Green peas, canned;13;90;1;0,1;5;4,8;5,2;260;0;https://c1.staticflickr.com/3/2761/4477728568_38253dcd86_b.jpg
Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz);Petit-pois (conserve), réchauffé (sans adjonction de sel);Piselli (conserva), riscaldato (senza aggiunta di sale);Green peas (canned), heated (without addition of salt);14;95;1;0,1;5,3;5,1;5,3;230;0;https://upload.wikimedia.org/wikipedia/commons/6/60/00_HK_canned_food_%E8%B1%86%E8%B1%89%E9%AF%AA%E9%AD%9A_Black_Bean_oil_Fried_Dace_fish_n_steamed_rice_Dec-2015_002.JPG
Erbse, grün, gedämpft (ohne Zugabe von Salz);Petit-pois, à la vapeur (sans adjonction de sel);Piselli, verdi, al vapore (senza aggiunta sale);Green pea, steamed (without addition of salt);14;105;1;0,1;6,9;6,9;4,6;1,9;6,3;https://upload.wikimedia.org/wikipedia/commons/1/11/Bengali_Peas_Pulao_with_Mutton_Masala_-_Traditional_Bengali_Style.jpg
Erbse, grün, roh;Petit-poid, cru;Pisello, crudo;Green pea, raw;12;90;1;0,1;6;6;4,2;2;5,5;https://cdn.pixabay.com/photo/2013/07/25/11/59/peas-166969_960_720.jpg
Erbsen und Karotten (Konserve);Petit-pois et carottes, conserve;Piselli e carote, conserva;Green peas and carrots, canned;10;70;1;0,1;4,5;3,8;3,2;410;5,8;https://upload.wikimedia.org/wikipedia/commons/1/11/Bengali_Peas_Pulao_with_Mutton_Masala_-_Traditional_Bengali_Style.jpg
Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz);Petits-pois et carottes, réchauffés (sans adjonction de sel);Piselli e carote, (conserva), riscaldato (senza aggiunta di sale);Green peas and carrots (canned), heated (without addition of salt);10;75;1;0,1;4,8;4;3,2;370;6,2;https://upload.wikimedia.org/wikipedia/commons/1/11/Bengali_Peas_Pulao_with_Mutton_Masala_-_Traditional_Bengali_Style.jpg
Erdbeere, roh;Fraise, crue;Fragola, cruda;Strawberry, fresh;7;40;1;0;2,2;0,7;1;2;7;https://cdn.pixabay.com/photo/2016/02/05/22/21/strawberries-1182217_960_720.jpg
Erdnuss;Cacahuète;Arachidi;Peanut;11;600;49;11,6;7,6;26;3,2;18;4;http://www.publicdomainpictures.net/pictures/10000/velka/1-1193583744.jpg
Erdnuss-Flips;Flips aux cacahuètes;Snack Flips di arachidi;Peanut curls;57;510;24;4,4;4,9;13,2;5;770;0;https://cdn.pixabay.com/photo/2014/10/27/22/10/peanut-flips-505876_960_720.jpg
Erdnuss, geröstet;Cacahuète, grillée;Arachidi, tostate;Peanut, roasted;9;595;49;9,2;8,2;25,3;13;9;3,6;https://upload.wikimedia.org/wikipedia/commons/2/25/A_photo_of_roasted_peanut.JPG
Erdnussbutter;Beurre d'arachides;Burro di arachidi;Peanut butter;12;640;54;10,7;7,6;22,6;0;350;6,4;https://upload.wikimedia.org/wikipedia/commons/b/bc/PeanutButter.jpg
Erdnussöl;Huile d'arachide;Olio di arachidi;Peanut oil;0;810;90;16,2;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/1/16/Peanut_oil_bottle.jpg
Espresso crème, ungezuckert;Expresso crème, non sucré;Espresso crema, non zuccherato;Espresso with coffee cream, no sugar added;1;30;3;1,5;0,1;0,5;1,9;14;0,6;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Black_Coffee_for_Breakfast_in_White_Porcelain_Cup.jpg/797px-Black_Coffee_for_Breakfast_in_White_Porcelain_Cup.jpg
